Country,Year,Business sophistication,Corporate Tax,Creative outputs,GDP,GDP_per_capita_PPP,GERD,GNI_per_capita,General Revenue,Global Innovation Index,Human capital and research,Infrastructure,Institutions,Internet Usage,Knowledge and technology outputs,Market sophistication,Patent Publications,Unemployment Rate,WIPO Tax
China,2013,42.9,25.0,31.9,9570470000000.0,11872.4974,1.9979,6740.0,10.9562,44.7,40.6,39.8,48.3,45.8,56.4,54.2,10367.0,4.6,18.64
China,2014,41.8,25.0,35.7,10475600000000.0,12480.3385,2.0224,7470.0,15.8182,46.6,43.4,45.0,48.3,47.9,59.0,50.5,12334.0,4.63,18.518
China,2015,44.9,25.0,35.1,11061600000000.0,12897.5023,2.057,7890.0,16.043,47.5,43.1,50.5,54.0,50.3,58.0,49.3,14812.0,4.65,18.135
China,2016,53.8,25.0,42.7,11233300000000.0,13483.3773,2.1003,8210.0,15.6299,50.6,48.1,52.0,55.2,53.2,53.3,56.6,16214.0,4.56,17.464
China,2017,54.5,25.0,45.3,12310500000000.0,14243.5326,2.116,8670.0,15.8832,52.5,49.2,57.9,54.8,54.3,56.4,54.7,20372.0,4.47,17.351
China,2018,56.0,25.0,45.4,13894900000000.0,15495.5484,2.1406,9540.0,16.5359,53.1,47.8,56.8,59.4,59.2,56.5,55.6,19480.0,4.31,17.014
China,2019,55.4,25.0,48.3,14280000000000.0,16652.0988,2.2446,10310.0,16.1006,54.8,47.6,58.7,64.1,64.0809,57.2,58.6,19598.0,4.56,22.089
China,2020,52.9,25.0,47.0,14687700000000.0,17189.2818,2.4067,10530.0,14.0861,53.3,49.4,52.1,64.6,70.0528,55.1,58.5,20073.0,5.0,20.077
China,2021,54.3,25.0,46.5,17820500000000.0,19338.2341,2.4326,11890.0,14.937,54.8,50.6,54.6,64.4,73.0532,58.5,61.5,22475.0,4.55,21.04
China,2022,55.9,25.0,49.3,17881800000000.0,18263.7579,2.5552,11210.0,15.0125,55.3,53.1,57.5,64.8,75.6113,56.8,56.0,23598.0,4.98,20.05
France,2013,46.1,38.0,49.0,2816080000000.0,39523.8552,2.237,43800.0,44.1114,52.8,54.6,52.4,79.0,81.9198,44.3,63.1,155.0,9.913,45.329
