Country,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,Corporate Tax,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
France,Corporate Tax,38.0%,38.0%,38.0%,34.4%,44.4%,34.4%,34.4%,32.0%,28.4%,25.8%
Germany,Corporate Tax,29.6%,29.7%,29.8%,29.8%,29.9%,29.9%,29.9%,29.8%,29.9%,29.9%
Japan,Corporate Tax,37.0%,34.6%,32.1%,30.0%,30.0%,29.7%,29.7%,29.7%,29.7%,29.7%
Korea,Corporate Tax,24.2%,24.2%,24.2%,24.2%,24.2%,27.5%,27.5%,27.5%,27.5%,27.5%
United Kingdom,Corporate Tax,23.0%,21.0%,20.0%,20.0%,19.0%,19.0%,19.0%,19.0%,19.0%,19.0%
United States of America,Corporate Tax,39.0%,39.1%,39.0%,38.9%,38.9%,25.8%,25.9%,25.8%,25.8%,25.8%
China,GERD,1.99786,2.02243,2.05701,2.10033,2.11603,2.14058,2.24463,2.40666,2.4326,2.55518
France,GERD,2.23703,2.27592,2.22702,2.22238,2.19888,2.19666,2.19179,2.27464,2.21808,2.23312
Germany,GERD,2.83599,2.87784,2.93379,2.94039,3.0471,3.11011,3.16701,3.13136,3.12882,3.13236
Japan,GERD,3.27896,3.36788,3.24071,3.10666,3.16636,3.2192,3.21824,3.26458,3.27677,3.40537
Korea,GERD,3.95124,4.07786,3.9782,3.98704,4.29206,4.51633,4.62703,4.79571,4.90988,5.21081
United Kingdom,GERD,1.62096,2.26488,2.27566,2.32052,2.32602,2.71124,2.6708,2.93883,2.89711,2.85831
United States of America,GERD,2.69592,2.70881,2.77328,2.83676,2.88357,2.99045,3.14704,3.42467,3.48313,3.58623
China,Institutions,48.3,48.3,54.0,55.2,54.8,59.4,64.1,64.6,64.4,64.8
France,Institutions,79.0,78.6,81.7,80.4,80.7,81.2,83.2,83.7,83.4,77.0
Germany,Institutions,82.5,82.7,83.2,84.1,83.5,85.9,86.4,84.6,84.3,76.5
Japan,Institutions,83.5,84.1,86.5,87.1,87.4,89.8,89.9,89.3,88.8,75.8
Korea,Institutions,76.0,75.8,76.2,75.4,74.5,78.5,79.7,78.4,79.5,70.5
